@relation timetagging

@attribute gloss String
@attribute tense {past,present,future,neutral,atemporal}



@data
' धूप की आरती',atemporal
' लक्समबर्ग की राजधानी ',atemporal
' शिकायत करने वाला व्यक्ति',future
' किसी व्यक्ति द्वारा किए गए कार्य के बदले में उसे सम्मानपूर्वक पारिश्रमिक के रूप में दिया जानेवाला धन',atemporal
' इंटरनेट से जुड़े वेब पेजों का समूह',atemporal
' किसी को तंग करने के लिए छेड़ने की क्रिया या भाव ',atemporal
' जो उत्तेजना से भरा हुआ हो',atemporal
' * वह जीव जिसमें गुणसूत्र-संबंधी परिवर्तन के परिणामस्वरूप विशिष्टता हो',atemporal
' सिर पर के बालों को कंघी आदि से विभक्त करने पर उनके बीच में बनी हुई रेखा',atemporal
' वह परिषद जो वित्त संबंधी मामले में सलाह देने के लिए गठित हो',atemporal
' पहले मैं और पीछे कोई और का भाव या अवस्था',atemporal
' जिसे लालच हो या लालच से भरा हुआ',atemporal
' आकार को छिपाने की क्रिया',atemporal
' लिखी हुई या छपी हुई बहुत से पन्नोंवाली वह वस्तु जिसमें दूसरों के पढ़ने के लिए विचार, विवेचन आदि हों',atemporal
' जिसकी लंबाई,चौड़ाई से अधिक हो',atemporal
' एक फल जिसके ऊपर कठोर आवरण होता है',neutral
' एक सफेद उपधातु जो बहुत तीव्र विष होता है',neutral
' विकल्पहीन होने की अवस्था या भाव',atemporal
' जो बालकों के लिए उपयोगी हो',atemporal
' जो प्रविष्ट न हुआ हो',atemporal
' वसुदेव की पत्नी जिनके गर्भ से कृष्ण का जन्म हुआ था',atemporal
' वह जो मछली पकड़कर बेचता है',atemporal
' किसी की जिम्मेदारी बनकर रहने तथा उसके लिए कुछ उपयोगी न होने की अवस्था',atemporal
' आधिकारिक सूचना विशेषतः जो राजपत्र में प्रकाशित हुई हो',atemporal
' किसी को झट से पकड़कर दबा लेने की क्रिया या भाव',atemporal
' एक सुगंधित सफ़ेद फूल जिसका डंठल नारंगी रंग का होता है',neutral
' थाली या पत्तल में खाना परोसने या निकालने की क्रिया',atemporal
' नक्सलवाद से संबंधित',atemporal
' यज्ञ द्वारा प्रायश्चित',atemporal
' शीघ्रता से या बिना विलम्ब किए',atemporal
' कोई चीज फँसाने या टाँगने आदि के लिए बना हुआ लोहे आदि का टेढ़ा काँटा',atemporal
' नागरमोथा नामक घास की जड़',atemporal
' गणितीय तर्क-संगत विधि से कुछ गणना करने या निर्धारित करने की प्रक्रिया ',atemporal
' यमन से संबंधित या यमन का ',atemporal
' धातु आदि की वस्तुओं के टकराने या बजने का शब्द ',atemporal
' चाचा की लड़की',atemporal
' आय पर लगनेवाला कर',atemporal
' (लिखावट या लेख) जो पास-पास लिखा हुआ हो या जो स्पष्ट न हो और सटा-सटाकर कर लिखा गया हो',atemporal
' साल में दो बार ब्याने वाली गाय',atemporal
' तंत्र द्वारा किए जानेवाले ये छः कर्म - शांति,वशीकरण,स्तंभन,विद्वेष,उच्चाटन और मारण',atemporal
' पेड़ पर सूखा हुआ महुआ',atemporal
' लकड़ी या धातु आदि का वह खंड जिसपर कोई आकृति या बेल-बूटे आदि खुदे हों और उसे किसी दूसरी वस्तु पर रखकर दबाने से उसमें खुदी आकृति उतर या बन जाए',atemporal
' वह लाइन जिससे टेलिफ़ोन जुड़ा रहता है',atemporal
' अनावश्यक रूप से अपनी योग्यता दिखाना',atemporal
' हिन्दू धर्म-ग्रंथों में वर्णित वह पर्वत जिससे देवों और असुरों ने समुद्रमंथन किया था',atemporal
' गंगा के गर्भ से उत्पन्न राजा शांतनु के पुत्र',atemporal
' गणना में अठहत्तर के स्थान पर आने वाला',future
' शरीर के द्वारा खाई हुई वस्तु को पक्वाशय की जठराग्नि से रस आदि के रूप में परिवर्तित करना',atemporal
' अजमेर स्थित सूफ़ी संत ख्वाज़ा मोइनुद्दीन चिश्ती की दरगाह ',atemporal
' एक हरे रंग का पक्षी जिसकी चोंच लंबी होती है',neutral
' एक बड़ा वृक्ष जो ठंडे प्रदेशों में पाया जाता है',neutral
' छत के नीचे सजावट के लिये दीवार पर उभारी गई पट्टी',atemporal
' वह दुकान जहाँ महिलाओं के वस्त्र और आभूषण बेचे जाते हैं',past
' छीनने, लूटने या अनुचित रूप से बलपूर्वक ले लेने की क्रिया',atemporal
' साहित्य से संबंधित कृति',atemporal
' निश्चित रूप से लाभकारी (औषध)',atemporal
' पिस्ते के रंग का या पीलापन लिए हरा',atemporal
' * वह संस्था या निकाय जो सेवा प्रदान करती है',atemporal
' नमक बनाने वाला व्यक्ति',future
' जो बटा हुआ हो',atemporal
' निर्लिप्त होने की अवस्था या भाव',atemporal
' अभिमान या दर्प से भरा हुआ',atemporal
' गाय की हत्या',atemporal
' बात का अच्छा चटपट जवाब देने में होशियार',atemporal
' थाईलैंड का या वहाँ के निवासी, भाषा, संस्कृति इत्यादि से संबंधित',atemporal
' मालखंभ की एक कसरत ',present
' कठिनाई आदि से निकलने या किसी कार्य आदि को करने के निमित्त मार्ग सुझाने की क्रिया',atemporal
' हिंदी वर्णमाला का पाँचवाँ स्वर अक्षर जिसका उच्चारण स्थान ओष्ठ है',atemporal
' रस्सी आदि बटने के काम में लाया जानेवाला कोई उपकरण या यंत्र',atemporal
' किसी वस्तु, व्यक्ति आदि को जाँचना कि यह अमुक काम के योग्य है कि नहीं',atemporal
' संयुक्त राज्य अमेरिका का फिल्म उद्योग या फिल्म जगत ',atemporal
' मुचुकुंद नाम के वृक्ष का फूल ',atemporal
' वह दक्षिणा जो प्रणाम या अभिवादन करनेवाला गुरु, ब्राह्मण, संत आदि को देता है',atemporal
' वह जो यात्रा करता है',atemporal
' बैल या साँड आदि के कंधे पर का उठा हुआ कूबड़',atemporal
' निश्चित अवधि के बीच का समय',atemporal
' मद्रास से संबंधित या मद्रास का ',atemporal
' गणना में चौबीस के स्थान पर आने वाला',future
' वह आचरण, काम आदि जिसमें ऊपरी बनावट का भाव रहता है',atemporal
' विपत्ति आदि के समय या ऐसे ही जोर से बोलना या आवाज करना',atemporal
' यज्ञ करने की क्रिया',atemporal
' टूटा-फूटा हुआ',atemporal
' लगा हुआ होना',atemporal
' चुनाव, खेल, आदि में उम्मीदवार या प्रतियोगी को प्रतियोगिता में भाग लेने के लिए चुनना या भेजना',atemporal
' काठ के वे डंडे जिन्हें लोग डांडिया नृत्य करते समय हाथ में लेकर लड़ाते हैं',past
' गणना में छियालीस के स्थान पर आनेवाला',atemporal
' वह कर्मचारी वर्ग जो अपने अधिकारी आदि को निर्धारित कार्यों को करने में सहायता करता है',atemporal
' जो विकलांग विज्ञान से संबंधित हो या विकलांग विज्ञान का',atemporal
' सत्ताईस नक्षत्रों में से ग्यारहवाँ',atemporal
' जूते का अगला नुकीला भाग',atemporal
' हाथ की चूड़ियों के साथ पहनने का एक आभूषण जो लाख या शीशे का बना होता है',neutral
' बेलदार की पत्नी',atemporal
' नदी के किनारे पर बाँधा हुआ बाँध',atemporal
' कृषि गतिविधियों का आनंद लेने, उनसे शिक्षा पाने या उनमें सक्रिय भागीदारी के उद्देश्य से किसी भी कृषिभूमि की यात्रा करने की क्रिया',atemporal
' राजा या रईस की रखैल का महल',atemporal
' वह जो पंजीकरण करता है',atemporal
' जागरूक होने की अवस्था या भाव',atemporal
' हिंदी वर्णमाला का बत्तीसवाँ व्यंजन अक्षर',atemporal
' काठ के तल्ले की खूँटीदार चप्पल',atemporal
' किसी की ओर से उसके अभिकर्ता या एजेंट के रूप में कार्य करने की क्रिया ',atemporal
' मन बहलाने या अन्य किसी कारण से पर्यटक-स्थलों आदि पर घूमने-फिरने की क्रिया',atemporal
' विश्वश्रवा की एक पत्नी ',present
' वह छोटा राजा जो किसी चक्रवर्ती या बड़े राजा के आधीन हो और उसे कर देता हो',atemporal
' तनाव से भरा हुआ',atemporal
' कार्य में संलग्न करना',atemporal
' शब्दों, वाक्यों और पदों के अर्थ के विज्ञान का विशेषज्ञ',atemporal
' जिसमें गूदा हो',atemporal
' एक प्रकार का यंत्र जिसमें धूप की स्थिति को देखकर समय का अनुमान लगाया जाता है',neutral
' सधवा स्त्री का ऐसा पुत्र जो उसके यार या पर पुरुष से उत्पन्न हुआ हो',atemporal
' उस स्थान का या उस स्थान से संबंधित',atemporal
' परदे में रहने की क्रिया',atemporal
' किसी दूसरे स्थान से कोई अंश उद्धरण के रूप में लिया हुआ।(लेख या वचन)',atemporal
' उँगलियों के चारो ओर लपेट कर पिंडी बनाना',atemporal
' प्रसन्न और निश्चिंत रहने की अवस्था या भाव',atemporal
' अपराधी आदि को उसके अपराध के फलस्वरूप पहुँचाई हुई पीड़ा या आर्थिक हानि आदि',atemporal
' शरीर पर मलने के लिए सरसों, तिल, चिरौंजी या सुगंधित पदार्थों आदि का बनाया हुआ लेप',atemporal
' वह मिट्टी जिसमें लवण की अधिकता हो',atemporal
' कटी फसल को बैलों से कुचलवाने का काम ',atemporal
' अधिक गर्मी या जलने के कारण किसी चीज़ के ऊपरी भाग का सूख या जलकर काला पड़ना',atemporal
' विचारों या स्वभाव में समानता होने के कारण मेल या निर्वाह होना',atemporal
' वह नियत धन आदि जो किसी व्यक्ति या किसी संपत्ति, व्यापार आदि के काम में से कोई अधिकारिकी अपने लिए लेती है ',atemporal
' वह स्थान जहाँ हजामत बनाई जाती है ',atemporal
' भारत सरकार की एक संस्था जो अंतरिक्ष संबंधी अनुसंधान करती है या उसमें सहयोग करती है',neutral
' ग्रीष्म काल का या ग्रीष्म काल से संबंध रखनेवाला',atemporal
' जो दुख से भरा हो',atemporal
' बिना मज़दूरी दिए ज़बरदस्ती लिया जाने वाला काम ',future
' चिड़ियों, पशुओं आदि को डराने के लिए खेत में खड़ा किया हुआ घास-फूस, चिथड़ों आदि का बना पुतला',atemporal
' बहुत योग्य या काबिल',atemporal
' जो विष से भरा हो',atemporal
' वह बड़ा भोजन-कक्ष जहाँ कर्मचारी, विद्यार्थी, प्रशिक्षार्थी आदि भोजन करते हैं',past
' अंगिरा ऋषि का या उनसे संबंधित',atemporal
' दर्शन-शास्त्र से संबंधित',atemporal
' वृत्त को घेरने वाली गोल रेखा या उसकी लंबाई की नाप',atemporal
' वह व्यक्ति जो किसी कार्य, वस्तु, अवस्था आदि को नियंत्रित करे',atemporal
' किसी-किसी बकरी के गले में लटका हुआ थन के आकार का माँसल भाग',atemporal
' नीबू के रस में चीनी डालकर बनाया हुआ शरबत',atemporal
' वह जल जिसमें छिलके सहित कूटे हुए जौ को सड़ाया गया हो',past
' रेशम से बना हुआ वस्त्र',atemporal
' दुकान पर बैठकर चीज़ें बेचने वाला व्यक्ति',future
' वह महिला जो किसी क्षेत्र या विषय आदि में लोगों को रास्ता दिखाने के लिए उनके आगे चलती हो',atemporal
' कमर के नीचे और घुटनों के ऊपर का अंग',atemporal
' बड़ा अधिकारी (व्यंग्यात्मक)',atemporal
' ज्येष्ठ महीने से संबंधित या ज्येष्ठ महीने का',atemporal
' बोलीविया से संबंधित या बोलीविया का ',atemporal
' उड़ते समय होनेवाला परों का शब्द',atemporal
' भारी वस्तु के गिरने से उत्पन्न शब्द',atemporal
' दूसरे शहर या देश से आया हुआ आदमी',atemporal
' मेंहदी की पत्तियों को पीसकर बनाया हुआ लेप ',atemporal
' उठने या उठाने की क्रिया या भाव',atemporal
' हिम के समान',atemporal
' चराने की मजदूरी',atemporal
' तिकड़म करने वाला व्यक्ति ',future
' सुबह का सूर्य',atemporal
' किसी के विरुद्ध गुप्त रुप से की जानेवाली कार्रवाई',atemporal
' देवताओं की तीसरी आँख',atemporal
' वह पत्र जिसमें आपसी संधि या मेल-जोल की बात निश्चित होने पर उससे संबंधित शर्तें लिखी जाती हैं',past
' वह पदार्थ जो लोहे को अपनी ओर खींचता है',atemporal
' हर्ष या उमंग से फूले न समाना',atemporal
' आम्रपाली आम का पेड़ ',atemporal
' एक प्रकार की चिड़िया जिसके संबंध में कहा जाता है कि वह सर्वदा आकाश में उड़ती रहती है',neutral
' गणित में शून्य से कम मान रखने वाली संख्या',atemporal
' कुछ ऐसा करने की क्रिया जिससे कोई उन्नति करे',atemporal
' किसी वारिस रहित व्यक्ति की संपत्ति',atemporal
' पुस्तक या लेख आदि में लिखी हुई बातें या विषय देखने या पढ़ने की क्रिया',atemporal
' वह रासायनिक अभिक्रिया जो किसी पदार्थ की उपस्थिति मात्र से बढ़ जाती है और वह पदार्थ परिवर्तित भी नहीं होता',neutral
' जिस पर पूर्ण रूप से प्रभाव पड़ा हो',atemporal
' गाड़ी या रथ के नीचे का भाग या तला',atemporal
' पचास और सात के योग से प्राप्त संख्या',atemporal
' गणना में उनतीस के स्थान पर आनेवाला',atemporal
' किसी काम में साथ देने के लिए बुलाने या आओ कहने की क्रिया',atemporal
' जो हिंसा से ग्रस्त हो या जहाँ हिंसा हुई हो',atemporal
' वह राजकीय या सरकारी कर जो उपभोक्ता कोई वस्तु खरीदने पर देता है',atemporal
' घर में संतान होने पर परिवार वालों को लगने वाली अशुद्धि',atemporal
' किसी वस्तु को स्थिर रखने के लिए उसका कुछ भाग किसी दूसरी वस्तु में गुसेड़ देना',atemporal
' ऐसी सभा जिसमें राजा या बादशाह से सब लोग मिल सकते हों',atemporal
' द्वार आदि के ऊपर की अर्ध मंडलाकार रचना ',atemporal
' वह अवस्था जिसमें किसी चीज से किरणें निकलकर किसी ओर फैलती हैं',past
' एक प्रकार का टीबी जो हड्डी में होता है',neutral
' जात-पाँत के भेदभाव के बिना किया गया विवाह',atemporal
' जामवंत की पुत्री',atemporal
' जो गंध से युक्त हो',atemporal
' पाकिस्तान में चलने वाली मुद्रा ',atemporal
' सत्तर और तीन के योग से प्राप्त संख्या',atemporal
' संयमित होने की अवस्था या भाव',atemporal
' दीवार,मकान आदि को किसी अन्य से गिरवाना या ध्वस्त कराना ',atemporal
' कोई ऐसा मधुर और मादक पदार्थ जिसका किसी रूप में पान किया जाता हो',atemporal
' प्रमाण, साक्षी के रूप में लिया हुआ किसी लेख आदि का कोई अंश',atemporal
' भारत के कश्मीर प्रान्त की एक प्रमुख नदी ',present
' जो सबके सामने हो या सामने आया हुआ',atemporal
' गोल घुमाव या चक्र में घूमने या घुमाने की क्रिया, अवस्था या भाव',atemporal
' फलित ज्योतिष के अनुसार शुभ या अच्छे ग्रह',atemporal
' शंख का बना हुआ ',atemporal
' काँटेदार या व्यर्थ के पेड़-पौधों का समूह ',atemporal
' जब जहाँ जी चाहे, तब वहाँ अपनी इच्छानुसार पहुँच जानेवाला',atemporal
' विरोधी को परास्त करने के लिए उसके ख़िलाफ हथियार उठाना',atemporal
' जालंधर की पत्नी जो पतिव्रता थी ',atemporal
' किसी कार्य आदि के दौरान थोड़ा रुक कर शरीर को आराम देने की क्रिया',atemporal
' खाली जगह को पूर्ण करने के लिए उसमें कोई वस्तु आदि डालना ',atemporal
' पोतने की क्रिया',atemporal
' शरीर के उस ओर का जो किसी के पूरब की तरफ मुँह करके खड़े होने की अवस्था में उत्तर की ओर हो',atemporal
' हरे चने की डोडी',atemporal
' नारियल के भीतर गरी निकालनेवाला एक औज़ार जिसका सिरा नुकीला होता है',neutral
' खजरी आम का पेड़ ',atemporal
' विक्रमादित्य का या उनसे संबंधित ',atemporal
' सिर्फ़ साढ़ी डालकर रखा हुआ दही',atemporal
' शरीर की सतह पर चोट आदि के कारण या जन्मजात होनेवाला उभार ',atemporal
' ससुराल से दुलहन के पहले तीन बार मायके में आने-जाने के बाद के आने-जाने की क्रिया',atemporal
' किसी के बारे में कुछ कहने या बताने की क्रिया',atemporal
' बच्चों के घुटनों के बल चलने की क्रिया',atemporal
' दस और आठ के योग से मिलनेवाली संख्या',atemporal
' बस से यात्रा करने के लिए पैसे देकर खरीदा गया टिकिट',atemporal
' वह स्थान जहाँ बैठकर पाठकगण पुस्तकें, पत्रिकाएँ आदि पढ़ते हैं',past
' जिसका भंजन न हुआ हो या जो टूटा हुआ न हो',atemporal
' अति शीघ्रता से',atemporal
' इस्राइल में चलने वाली मुद्रा',atemporal
' रोग के निदान के लिए क्ष-किरण की सहायता से लिया जानेवाला शरीर के किसी आंतरिक भाग का फोटो',atemporal
' चान्द्र ज्योतिषानुसार वह व्यक्ति जिसका जन्म तब हुआ हो जब चन्द्र वृश्चिकराशि में हो',atemporal
' जिह्वा के मूल से संबंधित',atemporal
' एक बड़ा वृक्ष जो शोभा के लिए लगाया जाता है',neutral
' सुखाए हुए कुछ विशिष्ट फल या बीज ',past
' कमर के नीचे का पिछला उभरा हुआ मांसल भाग',atemporal
' अगाध या अथाह होने की अवस्था या भाव',atemporal
' गरमी में पसीने के कारण शरीर पर निकलने वाले छोटे-छोटे दाने',atemporal
' केसर आम का पेड़ ',atemporal
' किसी वस्तु के विस्तार को उसके अंदर वायु,तरल पदार्थ आदि के द्वारा दबाब पहुँचाकर बढ़ाना',atemporal
' राजा जनक के छोटे भाई ',atemporal
' वह ऊँची इमारत, विशेषतः समुद्र में बनी हुई इमारत, जहाँ से बहुत प्रबल प्रकाश निकलकर चारों ओर फैलता हो',atemporal
' संकट के स्थान से डरकर या अपने कर्तव्य आदि से विमुख होकर और लोगों की नज़र बचा कर भाग जाना',atemporal
' वे सभी सामान जो बिसातियों की दूकानों पर मिलते हैं',past
' जो गुरुकुल में रहता हो',atemporal
' किसी वस्तु आदि के ऊपर ठप्पे से निशान लगाना',atemporal
' मंदिर के अंदर का वह कक्ष जिसमें देव, देवियों आदि की मूर्तियाँ स्थापित की जाती हैं',past
' मंगल अवसरों पर द्वार आदि पर बाँधने के लिए फूल,पत्ते,दूब आदि की बनी हुई माला',atemporal
' वह पत्र जिस पर किसी का परिचय लिखा हो विशेषकर फोटो के साथ',atemporal
' योग की एक अवस्था',present
' कोलम्बिया की राजधानी ',atemporal
' सच्चा और अच्छा भाव',atemporal
' कपड़े आदि पर सुई-डोरे से फूल या बेल-बूटे बनाने का काम',atemporal
' पत्थर की बनी छोटी गोल कटोरी',atemporal
' कहीं या किसी के अंदर रखा, पड़ा या छिपा हुआ',atemporal
' बालों की लटें',atemporal
' संगणक संबंधी एक सार्वभौम प्रणाली जिसके द्वारा संगणकों के मध्य संप्रेषण होता है',neutral
' हंस जैसी सुंदर चाल चलनेवाली स्त्री',atemporal
' किसी अवरोध या यकृत कोशिकाओं में परिवर्तन होने के कारण पित्त का अपनी जगह न पहुँचने पर उत्पन्न कामला',atemporal
' सर्प का विषैला दाँत',atemporal
' जो अंग से संबंधित हो',atemporal
' वह बाक्स जिसमें मतदाता अपना मतपत्र डालता है',atemporal
' उत्तर-पूर्व का या उत्तर-पूर्व से संबंधित',atemporal
' जो चुभता हो',atemporal
' किसी पदार्थ के अणुओं की अधिक सान्द्रता से कम सान्द्रता की ओर गति करने की क्रिया',atemporal
' सार्वजनिक रूप से निकली हुई राजाज्ञा, सूचना या कोई कही हुई बात आदि',atemporal
' सेशिल्ज़ से संबंधित या सेशिल्ज़ का ',atemporal
' काशी नरेश इन्द्रद्युम्न की सबसे छोटी पुत्री',atemporal
' कमल का वह भाग जिसमें बीज पाये जाते हैं',past
' जुए का दाँव ',atemporal
' चिकित्सा विज्ञान की वह शाखा जिसमें दुर्घटना में लगे चोटों एवं घावों के शल्य संबंधी उपचार आदि निहित हैं',past
' व्यापार का या व्यापार से संबंधित',atemporal
' सभा-समिति आदि का वह सदस्य जो उसकी बैठकें बुलाता है',atemporal
' दुर्बल या अधीनस्थ के परिश्रम, आय आदि से अनुचित लाभ उठाने की क्रिया',atemporal
' किसी सूक्ष्मजीव द्वारा उत्पन्न एक रासायनिक पदार्थ जो अन्य सूक्ष्मजीवों की वृद्धि को कम करता है अथवा उन्हें नष्ट करता है',neutral
' एक प्रकार का सूती कपड़ा जो खारुआ रंग में रंगा होता है',neutral
' किसी वस्तु के साधारण अथवा किसी निश्चित रूप के सिवाय उसका कोई और बदला हुआ रूप ',atemporal
' शब्द का अनुवाद',atemporal
' दस और चार के जोड़ से प्राप्त संख्या',atemporal
' चिल्लाने की क्रिया या भाव',atemporal
' वह स्त्री जो किसी पुरुष की रूमानी ढंग से मित्र हो',atemporal
' किसी पदार्थ का दूसरे पदार्थ को अपने में विलीन कर लेना या समा लेना',atemporal
' आयुर्वेद के जन्मदाता जो आयुर्वेद के सबसे बड़े आचार्य और देवताओं के वैद्य माने जाते हैं',past
' चारों दिशाओं के बीच का प्रत्येक कोण',atemporal
' कुंती का सबसे बड़ा पुत्र जो बहुत दानी था और जिसके जन्म लेते ही कुंती ने उसे त्याग दिया था',atemporal
' शुभ मुहूर्त में होने वाली रस्म या कार्य',atemporal
' काग़ज़ का या काग़ज़ से संबंधित',atemporal
' जितना हो उससे उतना पाँच बार और अधिक',atemporal
' समाज की सेवा में लगा व्यक्ति',atemporal
' तबले में एक साथ बजने वाले दो बाजे में से एक जो धातु या काठ पर चमड़ा मढ़कर बनाया जाता है',neutral
' लोगों को मार-पीट कर उनका धन छीनने की क्रिया',atemporal
' खुजली मिटाने के लिए नाखूनों से अंग रगड़ना',atemporal
' उत्पादन का अभाव ',atemporal
' आगे की ओर आकर',atemporal
' अक्रूर की पत्नी ',atemporal
' मौरिटानिया की राजधानी ',atemporal
' किसी को अधीन करने की क्रिया या किसी को अधीन में लाने की क्रिया',atemporal
' भगवान राम का लोक',atemporal
' वह स्थान जहाँ पका हुआ भोजन मिले',atemporal
' धूमधाम से कोई सार्वजनिक,बड़ा,शुभ या मंगल कार्य करना',atemporal
' सन्निहित होने की क्रिया या भाव',atemporal
' परिणाम के रूप में प्राप्त होनेवाला फल',atemporal
' तटीय जल में समुद्री यातायात की सुरक्षा के लिए जिम्मेदार सेना की सुरक्षा बल',atemporal
' औषध के द्वारा वृद्ध या रुग्ण शरीर को फिर से तरुण या स्वस्थ करने की क्रिया',atemporal
' खाने-पीने की चीजों या किसी अन्य वस्तु को उपयोग में लाने की क्रिया ',atemporal
' मनुष्य, पशु आदि की छाती के पंजर में की आड़ी और कुछ गोलाकार हड्डी',atemporal
' नया आया हुआ',atemporal
' रस्सी बाँधकर नाव खींचनेवाला मल्लाह',atemporal
' पर्यावरण तथा वन मंत्री का कार्यालय या विभाग',atemporal
' जेलखाने की वह बहुत छोटी और अँधेरी कोठरी जिसमें कैद-तनहाई की सजा पानेवाले कैदी रखे जाते हैं',past
' रोमानिया में चलने वाली मुद्रा ',atemporal
' जिससे अनवरत साँस रुक या थम जाए',atemporal
' कर्म को ही प्रधानता देनेवाला व्यक्ति ',atemporal
' जो सम्मानजनक या सामाजिक तौर पर स्वीकृत हो ',atemporal
' ढँकने का काम किसी और से कराना',atemporal
' बिना प्रयास के या मुफ्त में मिलनेवाला धन',atemporal
' फलित ज्योतिष के अनुसार वह योग जिसके फलस्वरूप आदमी मर सकता हो',atemporal
' ऐसी आराधना तथा उपासना जो विशेष कष्ट सहन करके परिश्रम तथा मनोयोगपूर्वक बहुत दिनों तक करनी पड़ती हो अथवा जिसमें किसी विशिष्ट प्रकार की सिद्धि प्राप्त होती हो',atemporal
' मुँह से बोला जाना',atemporal
' गृह मंत्री का कार्यालय या विभाग',atemporal
' पदार्थ और ऊर्जा तथा उनके पारस्परिक प्रभाव या क्रिया का विज्ञान',atemporal
' * उड़ान में वायुयान की सुव्यवस्थित रचना या बनावट',atemporal
' बहेड़े की जाति का एक पेड़ ',present
' भविष्य आदि के लिए या आगे की आवश्यकता के कारण अलग या बचाकर रखने की क्रिया',atemporal
' जिसे संकोच हो या हिचकता हुआ',atemporal
' रस्सी के अगले सिरे की सरकने वाली गाँठ या फंदा',atemporal
' छोटे या कम लम्बे कपड़े से सिर तक बाँधी जानेवाली हलकी पगड़ी',atemporal
' * वह मानवकृति जो मानक या मानदंड से हटी हुई हो',atemporal
' वह अस्त्र जिससे आग निकलती है',atemporal
' पालन-पोषण करने या आश्रय में रखने वाला व्यक्ति',future
' किसी व्यक्ति या व्यक्तियों द्वारा ही किसी प्रसिद्ध व्यक्ति की हत्या जो अचानक आक्रमण करके की जाए',atemporal
' शौक का या शौक से संबंधित',atemporal
' मंच संबंधी या मंच का',atemporal
' बधिया किया हुआ बकरा',atemporal
' जो मनुष्य के लिए उचित हो ',atemporal
' अंगूर के रंग का या अंगूर के समान',atemporal
' पापी महिला',atemporal
' एक प्रकार की सुपारी जो चिकनी होती है ',neutral
' तौलने का काम दूसरे से कराना',atemporal
' वह जो अनुचित या वर्जित कार्य करे',atemporal
' काँच की बनी एक नली जिसका एक सिरा बंद होता है ',neutral
' पछाड़ खाकर जमीन पर गिरने और लोटने की क्रिया या भाव',atemporal
' उत्कट अभिलाषा',atemporal
' पतले रेशे या तंतु जो पत्तों में बीच-बीच में होते हैं',past
' कागज़ का कम चौड़ा और अधिक लंबा टुकड़ा जिस पर कुछ लिखा हो',atemporal
' टूटी-फूटी अथवा नष्ट हुई वस्तु को पुनः यथावत् ठीक करने या उद्धार करने की क्रिया',atemporal
' नीचे का भाग',atemporal
' एक सैनिक पद जो कप्तान के पद से नीचे होता है',neutral
' वह जगह जहाँ प्रशिक्षकों की देख-रेख में बाडी बिल्डिंग के लिए कई प्रकार के व्यायाम कराए जाते हैं',past
' नित्य या अनादि होने की अवस्था या भाव',atemporal
' नाइजीरिया से संबंधित या नाइजीरिया का ',atemporal
' बीजगणित की एक क्रिया',present
' गिनती के विचार से अंग्रेजी महीने का कोई दिन',atemporal
' धुनियों की वह कमान जिससे वे रूई धुनते हैं',past
' राजा हरिश्चंद्र की पत्नी ',atemporal
' मध्यबिंदू से समान अंतर पर खिंची हुई गोल रेखा का आधा अंश',atemporal
' अकेला या गिनती में शून्य से ऊपर तथा दो से कम',atemporal
' रंगीन काँच, पत्थर आदि के टुकड़ों से बनी कलात्मक संरचना',atemporal
' खिलाने की क्रिया',atemporal
' जो अपने पैरों के बल खड़ा हो',atemporal
